"_MODEL_";"_STATUS_VARIANT_"
1929;"Сорт 1"
2177;"Сорт 1"
2186;"Сорт 1"
2187;"Сорт 1"
2621;"Сорт 1"
2932;"Сорт 1"
3230;"Сорт 1"
3239;"Сорт 1"
3243;"Сорт 1"
3248;"Сорт 1"
3268;"Сорт 1"
3269;"Сорт 1"
3270;"Сорт 1"
8157;"Сорт 1"
8633;"Сорт 1"
8637;"Сорт 1"
8638;"Сорт 1"
8639;"Сорт 1"
8640;"Сорт 1"
8644;"Сорт 1"
8645;"Сорт 1"
8656;"Сорт 1"
8873;"Сорт 1"
8916;"Сорт 1"
8938;"Сорт 1"
8939;"Сорт 1"
9643;"Сорт 1"
9644;"Сорт 1"
9646;"Сорт 1"
10215;"Сорт 1"
12612;"Сорт 1"
12886;"Сорт 1"
13532;"Сорт 1"
13542;"Сорт 1"
13605;"Сорт 1"
13662;"Сорт 1"
13663;"Сорт 1"
13679;"Сорт 1"
13683;"Сорт 1"
13692;"Сорт 1"
13717;"Сорт 1"
13739;"Сорт 1"
13846;"Сорт 1"
13889;"Сорт 1"
14366;"Сорт 1"
14440;"Сорт 1"
14442;"Сорт 1"
14903;"Сорт 1"
14910;"Сорт 1"
14911;"Сорт 1"
14915;"Сорт 1"
15209;"Сорт 1"
15434;"Сорт 1"
16240;"Сорт 1"
16241;"Сорт 1"
16248;"Сорт 1"
16249;"Сорт 1"
16250;"Сорт 1"
16251;"Сорт 1"
16252;"Сорт 1"
16253;"Сорт 1"
16254;"Сорт 1"
20311;"Сорт 1"
20416;"Сорт 1"
20456;"Сорт 1"
20513;"Сорт 1"
20522;"Сорт 1"
20524;"Сорт 1"
20545;"Сорт 1"
20549;"Сорт 1"
20558;"Сорт 1"
20592;"Сорт 1"
20699;"Сорт 1"
21240;"Сорт 1"
21241;"Сорт 1"
21242;"Сорт 1"
21243;"Сорт 1"
21244;"Сорт 1"
21247;"Сорт 1"
21249;"Сорт 1"
21250;"Сорт 1"
21251;"Сорт 1"
21252;"Сорт 1"
21253;"Сорт 1"
21333;"Сорт 1"
21623;"Сорт 1"
21718;"Сорт 1"
21725;"Сорт 1"
21727;"Сорт 1"
21728;"Сорт 1"
21748;"Сорт 1"
21749;"Сорт 1"
21751;"Сорт 1"
21813;"Сорт 1"
21829;"Сорт 1"
21830;"Сорт 1"
21846;"Сорт 1"
21847;"Сорт 1"
21881;"Сорт 1"
21932;"Сорт 1"
22084;"Сорт 1"
22145;"Сорт 1"
22331;"Сорт 1"
22353;"Сорт 1"
22766;"Сорт 1"
22767;"Сорт 1"
22768;"Сорт 1"
22769;"Сорт 1"
22770;"Сорт 1"
22771;"Сорт 1"
22772;"Сорт 1"
22773;"Сорт 1"
22774;"Сорт 1"
